Round Number,Date,Location,Home Team,Away Team,Result
1,10/08/2019 17:30,Tottenham Hotspur Stadium,Spurs,Aston Villa,03-Jan
2,17/08/2019 15:00,Villa Park,Aston Villa,Bournemouth,01-Feb
3,23/08/2019 20:00,Villa Park,Aston Villa,Everton,2 - 0
4,31/08/2019 15:00,Selhurst Park,Crystal Palace,Aston Villa,1 - 0
5,16/09/2019 20:00,Villa Park,Aston Villa,West Ham,
6,22/09/2019 16:30,Emirates Stadium,Arsenal,Aston Villa,
7,28/09/2019 15:00,Villa Park,Aston Villa,Burnley,
8,05/10/2019 15:00,Carrow Road,Norwich,Aston Villa,
9,19/10/2019 15:00,Villa Park,Aston Villa,Brighton,
10,26/10/2019 12:30,Etihad Stadium,Man City,Aston Villa,
11,02/11/2019 15:00,Villa Park,Aston Villa,Liverpool,
12,09/11/2019 15:00,Molineux Stadium,Wolves,Aston Villa,
13,23/11/2019 15:00,Villa Park,Aston Villa,Newcastle,
14,30/11/2019 15:00,Old Trafford,Man Utd,Aston Villa,
15,04/12/2019 19:45,Stamford Bridge,Chelsea,Aston Villa,
16,07/12/2019 15:00,Villa Park,Aston Villa,Leicester,
17,14/12/2019 15:00,Bramall Lane,Sheffield Utd,Aston Villa,
18,21/12/2019 15:00,Villa Park,Aston Villa,Southampton,
19,26/12/2019 15:00,Villa Park,Aston Villa,Norwich,
20,28/12/2019 15:00,Vicarage Road,Watford,Aston Villa,
21,01/01/2020 15:00,Turf Moor,Burnley,Aston Villa,
22,11/01/2020 15:00,Villa Park,Aston Villa,Man City,
23,18/01/2020 15:00,Amex Stadium,Brighton,Aston Villa,
24,21/01/2020 19:45,Villa Park,Aston Villa,Watford,
25,01/02/2020 15:00,Vitality Stadium,Bournemouth,Aston Villa,
26,08/02/2020 15:00,Villa Park,Aston Villa,Spurs,
27,22/02/2020 15:00,St. Mary's Stadium,Southampton,Aston Villa,
28,29/02/2020 15:00,Villa Park,Aston Villa,Sheffield Utd,
29,07/03/2020 15:00,King Power Stadium,Leicester,Aston Villa,
30,14/03/2020 15:00,Villa Park,Aston Villa,Chelsea,
31,21/03/2020 15:00,St. James' Park,Newcastle,Aston Villa,
32,04/04/2020 15:00,Villa Park,Aston Villa,Wolves,
33,11/04/2020 15:00,Anfield,Liverpool,Aston Villa,
34,18/04/2020 15:00,Villa Park,Aston Villa,Man Utd,
35,25/04/2020 15:00,Villa Park,Aston Villa,Crystal Palace,
36,02/05/2020 15:00,Goodison Park,Everton,Aston Villa,
37,09/05/2020 15:00,Villa Park,Aston Villa,Arsenal,
38,17/05/2020 15:00,London Stadium,West Ham,Aston Villa,
