Round Number,Date,Location,HomeTeam,AwayTeam,Result
1,11/08/2019 14:00,King Power Stadium,Leicester,Wolves,0 - 0
2,19/08/2019 20:00,Molineux Stadium,Wolves,Man Utd,01-Jan
3,25/08/2019 16:30,Molineux Stadium,Wolves,Burnley,01-Jan
4,01/09/2019 14:00,Goodison Park,Everton,Wolves,03-Feb
5,14/09/2019 15:00,Molineux Stadium,Wolves,Chelsea,
6,21/09/2019 15:00,Selhurst Park,Crystal Palace,Wolves,
7,28/09/2019 15:00,Molineux Stadium,Wolves,Watford,
8,05/10/2019 15:00,Etihad Stadium,Man City,Wolves,
9,19/10/2019 15:00,Molineux Stadium,Wolves,Southampton,
10,27/10/2019 14:00,St. James' Park,Newcastle,Wolves,
11,02/11/2019 15:00,Emirates Stadium,Arsenal,Wolves,
12,09/11/2019 15:00,Molineux Stadium,Wolves,Aston Villa,
13,23/11/2019 15:00,Vitality Stadium,Bournemouth,Wolves,
14,30/11/2019 15:00,Molineux Stadium,Wolves,Sheffield Utd,
15,03/12/2019 19:45,Molineux Stadium,Wolves,West Ham,
16,07/12/2019 15:00,Amex Stadium,Brighton,Wolves,
17,14/12/2019 15:00,Molineux Stadium,Wolves,Spurs,
18,21/12/2019 15:00,Carrow Road,Norwich,Wolves,
19,26/12/2019 15:00,Molineux Stadium,Wolves,Man City,
20,28/12/2019 15:00,Anfield,Liverpool,Wolves,
21,01/01/2020 15:00,Vicarage Road,Watford,Wolves,
22,11/01/2020 15:00,Molineux Stadium,Wolves,Newcastle,
23,18/01/2020 15:00,St. Mary's Stadium,Southampton,Wolves,
24,21/01/2020 19:45,Molineux Stadium,Wolves,Liverpool,
25,01/02/2020 15:00,Old Trafford,Man Utd,Wolves,
26,08/02/2020 15:00,Molineux Stadium,Wolves,Leicester,
27,22/02/2020 15:00,Molineux Stadium,Wolves,Norwich,
28,29/02/2020 15:00,Tottenham Hotspur Stadium,Spurs,Wolves,
29,07/03/2020 15:00,Molineux Stadium,Wolves,Brighton,
30,14/03/2020 15:00,London Stadium,West Ham,Wolves,
31,21/03/2020 15:00,Molineux Stadium,Wolves,Bournemouth,
32,04/04/2020 15:00,Villa Park,Aston Villa,Wolves,
33,11/04/2020 15:00,Molineux Stadium,Wolves,Arsenal,
34,18/04/2020 15:00,Bramall Lane,Sheffield Utd,Wolves,
35,25/04/2020 15:00,Molineux Stadium,Wolves,Everton,
36,02/05/2020 15:00,Turf Moor,Burnley,Wolves,
37,09/05/2020 15:00,Molineux Stadium,Wolves,Crystal Palace,
38,17/05/2020 15:00,Stamford Bridge,Chelsea,Wolves,
